#
#   VizieR Astronomical Server: vizier.cfa.harvard.edu	2009-01-09T21:25:23
#   (replaces the 'Astrores' format originally described at
#    http://vizier.u-strasbg.fr/doc/astrores.htx)
#   In case of problem, please report to:	question@simbad.u-strasbg.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	-ref=VOTx29957	
#INFO	-out.max=50000	

#RESOURCE=yCat_6049
#Name: VI/49
#Title: Constellation Boundary Data (Davenhall+ 1989)
#INFO	status=obsolete	
#Table	VI_49_bound_20:
#Name: VI/49/bound_20
#Title: Boundaries for 2000
#Column	RAJ2000	(A13)	Right ascension in decimal hours (J2000)	[ucd=?]
#Column	DEJ2000	(F11.7)	Declination in degrees (J2000)	[ucd=?]
#Column	con	(a4)	Constellation abbreviation	[ucd=?]
#Column	type	(A1)	[OI] Type of point (Original or Interpolated)	[ucd=?]
RAJ2000	DEJ2000	con	type
20 40 07.8669	 71.4476471	CEP 	I
20 39 44.8639	 72.4472046	CEP 	I
20 39 19.1765	 73.4467163	CEP 	I
20 38 50.2893	 74.4461517	CEP 	I
20 38 17.5297	 75.4455261	CEP 	O
20 34 10.5845	 75.4359894	CEP 	I
20 30 03.8041	 75.4263153	CEP 	I
20 25 57.2229	 75.4165115	CEP 	I
20 21 50.7719	 75.4065781	CEP 	I
20 17 44.4999	 75.3965225	CEP 	I
20 13 38.4265	 75.3863525	CEP 	I
20 09 32.4975	 75.3760605	CEP 	I
20 07 29.6155	 75.3708725	CEP 	O
20 06 48.6709	 76.3700027	CEP 	I
20 06 01.3817	 77.3690033	CEP 	I
20 05 06.1065	 78.3678360	CEP 	I
20 04 00.6075	 79.3664551	CEP 	I
20 02 41.7120	 80.3647766	CEP 	O
20 06 50.3532	 80.3752518	CEP 	I
20 10 59.3238	 80.3856201	CEP 	I
20 15 08.5626	 80.3958740	CEP 	I
20 19 18.0347	 80.4059982	CEP 	I
20 23 27.8157	 80.4160080	CEP 	I
20 27 37.8645	 80.4258881	CEP 	I
20 31 48.1397	 80.4356384	CEP 	I
20 35 58.7173	 80.4452515	CEP 	I
20 40 09.5491	 80.4547348	CEP 	I
20 44 20.6070	 80.4640732	CEP 	I
20 48 31.9467	 80.4732666	CEP 	I
20 52 43.5407	 80.4823151	CEP 	I
20 54 49.4097	 80.4867859	CEP 	O
20 53 26.3461	 81.4853210	CEP 	I
20 51 41.3993	 82.4834671	CEP 	I
20 49 24.5301	 83.4810486	CEP 	I
20 46 18.4767	 84.4777603	CEP 	I
20 41 50.8431	 85.4730225	CEP 	I
20 34 53.0328	 86.4656219	CEP 	O
20 33 19.5253	 86.6306305	CEP 	O
20 37 50.1186	 86.6401901	CEP 	I
20 42 21.5291	 86.6495972	CEP 	I
20 46 53.8183	 86.6588593	CEP 	I
20 51 26.9521	 86.6679611	CEP 	I
20 56 00.8757	 86.6768951	CEP 	I
21 00 35.6577	 86.6856689	CEP 	I
21 05 11.2495	 86.6942749	CEP 	I
21 09 47.6039	 86.7026978	CEP 	I
21 14 24.7956	 86.7109528	CEP 	I
21 19 02.7703	 86.7190170	CEP 	I
21 23 41.4729	 86.7269058	CEP 	I
21 28 20.9719	 86.7345963	CEP 	I
21 33 01.2125	 86.7420959	CEP 	I
21 37 42.1399	 86.7494049	CEP 	I
21 42 23.8295	 86.7565079	CEP 	I
21 47 06.2124	 86.7634048	CEP 	I
21 51 49.2408	 86.7701035	CEP 	I
21 56 32.9763	 86.7765884	CEP 	I
22 01 17.3575	 86.7828522	CEP 	I
22 06 02.3361	 86.7889099	CEP 	I
22 10 47.9601	 86.7947388	CEP 	I
22 15 34.1813	 86.8003540	CEP 	I
22 20 20.9245	 86.8057404	CEP 	I
22 25 08.2650	 86.8108902	CEP 	I
22 29 56.1343	 86.8158188	CEP 	I
22 34 44.4702	 86.8205109	CEP 	I
22 39 33.3353	 86.8249664	CEP 	I
22 44 22.6601	 86.8291855	CEP 	I
22 49 12.3697	 86.8331604	CEP 	I
22 54 02.5599	 86.8368912	CEP 	O
22 48 19.4501	 87.8347626	CEP 	I
22 37 02.6371	 88.6638870	CEP 	O
22 42 59.6927	 88.6681976	CEP 	I
22 48 58.1767	 88.6722107	CEP 	I
22 54 58.1094	 88.6759262	CEP 	I
23 00 59.3399	 88.6793442	CEP 	I
23 07 01.7101	 88.6824417	CEP 	I
23 13 05.2205	 88.6852341	CEP 	I
23 19 09.7122	 88.6877136	CEP 	I
23 25 15.0078	 88.6898727	CEP 	I
23 31 21.1134	 88.6917191	CEP 	I
23 37 27.8508	 88.6932373	CEP 	I
23 43 35.0551	 88.6944427	CEP 	I
23 49 42.6990	 88.6953201	CEP 	I
23 55 50.6172	 88.6958694	CEP 	I
00 01 58.6369	 88.6960983	CEP 	I
00 08 06.7287	 88.6959991	CEP 	I
00 08 06.7251	 88.6959991	CEP 	I
00 14 14.7181	 88.6955795	CEP 	I
00 20 22.4337	 88.6948318	CEP 	I
00 26 29.8597	 88.6937561	CEP 	I
00 32 36.8193	 88.6923676	CEP 	I
00 38 43.1373	 88.6906509	CEP 	I
00 44 48.8055	 88.6886139	CEP 	I
00 50 53.6535	 88.6862640	CEP 	I
00 56 57.5135	 88.6835938	CEP 	I
01 03 00.3845	 88.6806183	CEP 	I
01 09 02.1035	 88.6773300	CEP 	I
01 15 02.5143	 88.6737366	CEP 	I
01 21 01.6257	 88.6698380	CEP 	I
01 26 59.2861	 88.6656418	CEP 	I
01 32 55.3517	 88.6611557	CEP 	I
01 38 49.8415	 88.6563721	CEP 	O
01 44 42.6192	 88.6513062	CEP 	I
01 50 33.5547	 88.6459579	CEP 	I
01 56 22.6791	 88.6403351	CEP 	I
02 02 09.8715	 88.6344452	CEP 	I
02 07 55.0153	 88.6282883	CEP 	I
02 13 38.1561	 88.6218643	CEP 	I
02 19 19.1874	 88.6151962	CEP 	I
02 24 58.0083	 88.6082687	CEP 	I
02 30 34.6755	 88.6011047	CEP 	I
02 36 09.0987	 88.5937042	CEP 	I
02 41 41.1911	 88.5860672	CEP 	I
02 47 11.0223	 88.5782089	CEP 	I
02 52 38.5137	 88.5701294	CEP 	I
02 58 03.5947	 88.5618439	CEP 	I
03 03 26.3455	 88.5533447	CEP 	I
03 08 46.6983	 88.5446472	CEP 	I
03 14 04.5971	 88.5357513	CEP 	I
03 19 20.1295	 88.5266724	CEP 	I
03 24 33.2417	 88.5174026	CEP 	I
03 29 43.8861	 88.5079651	CEP 	I
03 34 52.1598	 88.4983597	CEP 	I
03 39 58.0176	 88.4885864	CEP 	I
03 45 01.4231	 88.4786530	CEP 	I
03 50 02.4785	 88.4685745	CEP 	I
03 55 01.1471	 88.4583435	CEP 	I
03 59 57.4011	 88.4479828	CEP 	I
04 04 51.3473	 88.4374771	CEP 	I
04 09 42.9552	 88.4268494	CEP 	I
04 14 32.2029	 88.4160995	CEP 	I
04 19 19.2018	 88.4052353	CEP 	I
04 24 03.9279	 88.3942566	CEP 	I
04 28 46.3659	 88.3831787	CEP 	I
04 33 26.6238	 88.3719940	CEP 	I
04 38 04.6860	 88.3607178	CEP 	I
04 42 40.5389	 88.3493576	CEP 	I
04 47 14.2959	 88.3379059	CEP 	I
04 51 45.9414	 88.3263855	CEP 	I
04 56 15.4651	 88.3147812	CEP 	I
05 00 42.9789	 88.3031158	CEP 	I
05 05 08.4739	 88.2913818	CEP 	I
05 09 31.9395	 88.2795944	CEP 	I
05 13 53.4882	 88.2677536	CEP 	I
05 18 13.1087	 88.2558594	CEP 	I
05 22 30.7999	 88.2439194	CEP 	I
05 26 46.6645	 88.2319412	CEP 	I
05 31 00.6978	 88.2199326	CEP 	I
05 35 12.8958	 88.2078857	CEP 	I
05 39 23.3633	 88.1958160	CEP 	I
05 43 32.0973	 88.1837234	CEP 	I
05 47 39.0905	 88.1716080	CEP 	I
05 51 44.4463	 88.1594849	CEP 	I
05 55 48.1609	 88.1473389	CEP 	I
05 59 50.2289	 88.1352005	CEP 	I
06 03 50.7525	 88.1230469	CEP 	I
06 07 49.7273	 88.1109009	CEP 	I
06 11 47.1487	 88.0987549	CEP 	I
06 15 43.1129	 88.0866241	CEP 	I
06 19 37.6176	 88.0744934	CEP 	I
06 23 30.6549	 88.0623856	CEP 	I
06 27 22.3239	 88.0502930	CEP 	I
06 31 12.6195	 88.0382233	CEP 	I
06 35 01.5335	 88.0261765	CEP 	I
06 38 49.1615	 88.0141602	CEP 	I
06 42 35.4971	 88.0021744	CEP 	I
06 46 20.5331	 87.9902191	CEP 	I
06 50 04.3623	 87.9783096	CEP 	I
06 53 46.9781	 87.9664307	CEP 	I
06 57 28.3734	 87.9545975	CEP 	I
07 01 08.6373	 87.9428101	CEP 	I
07 04 47.7595	 87.9310760	CEP 	I
07 08 25.7349	 87.9193878	CEP 	I
07 12 02.6514	 87.9077530	CEP 	I
07 15 38.4984	 87.8961792	CEP 	I
07 19 13.2675	 87.8846588	CEP 	I
07 22 47.0478	 87.8732071	CEP 	I
07 26 19.8237	 87.8618164	CEP 	I
07 29 51.5904	 87.8504868	CEP 	I
07 33 22.4283	 87.8392334	CEP 	I
07 36 52.3289	 87.8280487	CEP 	I
07 40 21.2805	 87.8169403	CEP 	I
07 43 49.3665	 87.8059006	CEP 	I
07 47 16.5739	 87.7949448	CEP 	I
07 50 42.8917	 87.7840652	CEP 	I
07 54 08.3999	 87.7732697	CEP 	I
07 57 33.0887	 87.7625580	CEP 	I
08 00 56.9433	 87.7519379	CEP 	I
08 04 20.0431	 87.7414017	CEP 	I
08 07 42.3732	 87.7309570	CEP 	I
08 11 03.9243	 87.7206039	CEP 	I
08 14 24.7715	 87.7103424	CEP 	I
08 17 44.9013	 87.7001801	CEP 	I
08 21 04.2999	 87.6901169	CEP 	I
08 24 23.0457	 87.6801453	CEP 	I
08 27 41.1192	 87.6702805	CEP 	I
08 30 58.5090	 87.6605225	CEP 	I
08 34 15.2879	 87.6508636	CEP 	I
08 37 31.4418	 87.6413116	CEP 	I
08 40 46.9575	 87.6318665	CEP 	I
08 44 01.9097	 87.6225357	CEP 	I
08 47 16.2751	 87.6133118	CEP 	I
08 50 30.0429	 87.6042023	CEP 	I
08 53 43.2891	 87.5952072	CEP 	I
08 56 55.9929	 87.5863266	CEP 	I
09 00 08.1367	 87.5775604	CEP 	I
09 03 19.7931	 87.5689163	CEP 	O
08 46 46.0935	 86.5907669	CEP 	I
08 41 36.6601	 86.0975418	CEP 	O
08 34 25.1757	 85.1069717	CEP 	I
08 31 48.8676	 84.6103745	CEP 	O
08 28 07.3593	 84.6201172	CEP 	I
08 24 25.5111	 84.6299744	CEP 	I
08 20 43.2575	 84.6399460	CEP 	I
08 17 00.6162	 84.6500244	CEP 	I
08 13 17.6247	 84.6602173	CEP 	I
08 09 34.2072	 84.6705093	CEP 	I
08 05 50.3847	 84.6809158	CEP 	I
08 02 06.1883	 84.6914139	CEP 	I
07 58 21.5472	 84.7020111	CEP 	I
07 54 36.4853	 84.7127075	CEP 	I
07 50 51.0321	 84.7234955	CEP 	I
07 47 05.1101	 84.7343750	CEP 	I
07 43 18.7507	 84.7453384	CEP 	I
07 39 31.9791	 84.7563858	CEP 	I
07 35 44.7234	 84.7675171	CEP 	I
07 31 57.0097	 84.7787323	CEP 	I
07 28 08.8680	 84.7900162	CEP 	I
07 24 20.2205	 84.8013763	CEP 	I
07 20 31.0971	 84.8128128	CEP 	I
07 16 41.5257	 84.8243027	CEP 	I
07 12 51.4343	 84.8358688	CEP 	I
07 09 00.8467	 84.8474884	CEP 	I
07 05 09.7955	 84.8591690	CEP 	I
07 01 18.2039	 84.8709030	CEP 	I
06 57 26.1003	 84.8826904	CEP 	I
06 53 33.5148	 84.8945236	CEP 	I
06 49 40.3713	 84.9064026	CEP 	I
06 45 46.7007	 84.9183197	CEP 	I
06 41 52.5303	 84.9302826	CEP 	I
06 37 57.7851	 84.9422760	CEP 	I
06 34 02.4939	 84.9542999	CEP 	I
06 30 06.6895	 84.9663544	CEP 	I
06 26 10.2966	 84.9784317	CEP 	I
06 22 13.3403	 84.9905243	CEP 	I
06 18 15.8569	 85.0026398	CEP 	I
06 14 17.7663	 85.0147705	CEP 	I
06 10 19.1021	 85.0269089	CEP 	I
06 06 19.8918	 85.0390549	CEP 	I
06 02 20.0637	 85.0512009	CEP 	I
05 58 19.6467	 85.0633545	CEP 	I
05 54 18.6753	 85.0754929	CEP 	I
05 50 17.0689	 85.0876312	CEP 	I
05 46 14.8631	 85.0997543	CEP 	I
05 42 12.0877	 85.1118622	CEP 	I
05 38 08.6683	 85.1239471	CEP 	O
05 32 43.3857	 84.1319656	CEP 	I
05 28 51.9913	 83.1376648	CEP 	I
05 25 58.9599	 82.1419144	CEP 	I
05 23 44.6521	 81.1452179	CEP 	I
05 21 57.3347	 80.1478500	CEP 	O
05 17 54.1881	 80.1597824	CEP 	I
05 13 50.7810	 80.1716766	CEP 	I
05 09 47.0423	 80.1835175	CEP 	I
05 05 43.0087	 80.1953125	CEP 	I
05 01 38.7138	 80.2070541	CEP 	I
04 57 34.0895	 80.2187424	CEP 	I
04 53 29.1699	 80.2303619	CEP 	I
04 49 23.9931	 80.2419205	CEP 	I
04 45 18.4863	 80.2534103	CEP 	I
04 41 12.6877	 80.2648239	CEP 	I
04 37 06.6317	 80.2761688	CEP 	I
04 33 00.2495	 80.2874298	CEP 	I
04 28 53.5775	 80.2986069	CEP 	I
04 24 46.6545	 80.3097000	CEP 	I
04 20 39.4055	 80.3206940	CEP 	I
04 16 31.8731	 80.3316040	CEP 	I
04 12 24.0901	 80.3424072	CEP 	I
04 08 15.9915	 80.3531113	CEP 	I
04 04 07.6095	 80.3637161	CEP 	I
03 59 58.9863	 80.3742065	CEP 	I
03 55 50.0499	 80.3845825	CEP 	I
03 51 40.8369	 80.3948441	CEP 	I
03 50 07.3176	 80.3986664	CEP 	O
03 48 51.0012	 79.4002228	CEP 	I
03 47 47.6891	 78.4015045	CEP 	I
03 46 54.2903	 77.4025955	CEP 	O
03 42 46.9231	 77.4125900	CEP 	I
03 41 14.0997	 77.4163132	CEP 	O
03 37 06.4221	 77.4261398	CEP 	I
03 32 58.5503	 77.4358368	CEP 	I
03 28 50.5225	 77.4454041	CEP 	I
03 24 42.2651	 77.4548264	CEP 	I
03 20 33.8205	 77.4641190	CEP 	I
03 16 25.2264	 77.4732590	CEP 	I
03 12 16.4103	 77.4822540	CEP 	I
03 08 07.4145	 77.4911041	CEP 	I
03 03 58.2771	 77.4998016	CEP 	I
02 59 48.9253	 77.5083466	CEP 	I
02 55 39.4017	 77.5167236	CEP 	I
02 51 29.7461	 77.5249481	CEP 	I
02 47 19.8852	 77.5330048	CEP 	I
02 43 09.8605	 77.5409012	CEP 	I
02 38 59.7138	 77.5486221	CEP 	I
02 34 49.3695	 77.5561752	CEP 	I
02 30 38.8728	 77.5635529	CEP 	I
02 26 28.2624	 77.5707474	CEP 	I
02 22 17.4663	 77.5777664	CEP 	I
02 18 06.5271	 77.5846024	CEP 	I
02 13 55.4855	 77.5912552	CEP 	I
02 09 44.2685	 77.5977249	CEP 	I
02 05 32.9183	 77.6040039	CEP 	I
02 01 21.4773	 77.6100845	CEP 	I
01 57 09.8723	 77.6159821	CEP 	I
01 52 58.1459	 77.6216736	CEP 	I
01 48 46.3403	 77.6271744	CEP 	I
01 44 34.3831	 77.6324768	CEP 	I
01 40 22.3161	 77.6375732	CEP 	I
01 36 10.1819	 77.6424713	CEP 	I
01 31 57.9083	 77.6471634	CEP 	I
01 27 45.5382	 77.6516495	CEP 	I
01 23 33.1127	 77.6559219	CEP 	I
01 19 20.5608	 77.6599960	CEP 	I
01 15 07.9257	 77.6638489	CEP 	I
01 10 55.2483	 77.6674957	CEP 	I
01 06 42.4581	 77.6709213	CEP 	I
01 02 29.5969	 77.6741409	CEP 	I
00 58 16.7077	 77.6771393	CEP 	I
00 54 03.7188	 77.6799240	CEP 	I
00 49 50.6730	 77.6824875	CEP 	I
00 45 37.6131	 77.6848373	CEP 	I
00 41 24.4677	 77.6869583	CEP 	I
00 37 11.2789	 77.6888657	CEP 	I
00 32 58.0895	 77.6905518	CEP 	I
00 28 44.8287	 77.6920090	CEP 	I
00 27 41.4993	 77.6923447	CEP 	O
00 27 35.4942	 76.6923599	CEP 	I
00 27 30.3141	 75.6923676	CEP 	I
00 27 25.7976	 74.6923828	CEP 	I
00 27 21.8229	 73.6923981	CEP 	I
00 27 18.2955	 72.6924057	CEP 	I
00 27 15.1427	 71.6924133	CEP 	I
00 27 12.3055	 70.6924133	CEP 	I
00 27 09.7380	 69.6924210	CEP 	I
00 27 07.4016	 68.6924286	CEP 	I
00 27 05.2650	 67.6924362	CEP 	I
00 27 03.3033	 66.6924438	CEP 	O
00 22 56.6083	 66.6935959	CEP 	I
00 18 49.8654	 66.6945343	CEP 	I
00 14 43.1142	 66.6952515	CEP 	I
00 10 36.3936	 66.6957550	CEP 	I
00 06 29.6319	 66.6960373	CEP 	I
00 06 29.6345	 66.6960373	CEP 	I
00 02 22.8711	 66.6960983	CEP 	I
23 58 16.1451	 66.6959457	CEP 	I
23 54 09.3852	 66.6955795	CEP 	I
23 50 02.6253	 66.6949921	CEP 	I
23 45 55.9134	 66.6941833	CEP 	I
23 41 49.1745	 66.6931610	CEP 	I
23 40 47.4863	 66.6928711	CEP 	O
23 40 49.1823	 65.6928711	CEP 	I
23 40 50.7615	 64.6928787	CEP 	I
23 40 52.2171	 63.6928787	CEP 	O
23 36 46.3979	 63.6915894	CEP 	I
23 32 40.5513	 63.6900826	CEP 	I
23 28 34.7185	 63.6883621	CEP 	I
23 24 28.9407	 63.6864281	CEP 	I
23 20 23.1421	 63.6842766	CEP 	I
23 16 17.3712	 63.6819153	CEP 	I
23 15 15.9577	 63.6812897	CEP 	O
23 15 18.8622	 62.6813049	CEP 	I
23 15 21.5745	 61.6813240	CEP 	I
23 15 24.1218	 60.6813354	CEP 	I
23 15 26.3193	 59.7646751	CEP 	O
23 11 21.4407	 59.7620544	CEP 	I
23 07 16.5828	 59.7592239	CEP 	I
23 03 11.7799	 59.7561836	CEP 	I
22 59 06.9633	 59.7529335	CEP 	I
22 57 04.5897	 59.7512321	CEP 	O
22 57 07.7001	 58.7512512	CEP 	I
22 57 10.6387	 57.7512779	CEP 	I
22 57 12.9665	 56.9179611	CEP 	O
22 53 08.6925	 56.9144096	CEP 	I
22 49 04.4457	 56.9106483	CEP 	I
22 45 00.2541	 56.9066849	CEP 	I
22 40 56.0553	 56.9025192	CEP 	I
22 36 51.8911	 56.8981514	CEP 	I
22 32 47.7888	 56.8935814	CEP 	I
22 28 43.6861	 56.8888130	CEP 	I
22 24 39.6111	 56.8838463	CEP 	I
22 23 38.6232	 56.8825760	CEP 	O
22 23 42.5649	 55.8826180	CEP 	I
22 23 43.5123	 55.6326256	CEP 	O
22 19 39.6707	 55.6274185	CEP 	I
22 15 35.8567	 55.6220169	CEP 	I
22 12 33.0303	 55.6178436	CEP 	O
22 12 37.1023	 54.6178932	CEP 	I
22 12 40.9817	 53.6179352	CEP 	I
22 12 41.9223	 53.3679428	CEP 	O
22 08 38.5065	 53.3622169	CEP 	I
22 04 35.0907	 53.3563004	CEP 	I
22 02 33.4104	 53.3532715	CEP 	O
22 02 29.2560	 54.3532181	CEP 	I
22 02 24.9029	 55.3531647	CEP 	I
22 02 24.5253	 55.4364891	CEP 	O
21 58 20.8963	 55.4302864	CEP 	I
21 54 17.3019	 55.4238968	CEP 	I
21 50 13.7901	 55.4173279	CEP 	I
21 46 10.2713	 55.4105797	CEP 	I
21 42 06.8004	 55.4036522	CEP 	I
21 38 03.4191	 55.3965492	CEP 	I
21 34 00.0444	 55.3892708	CEP 	I
21 29 56.7111	 55.3818245	CEP 	I
21 25 53.4597	 55.3742104	CEP 	I
21 21 50.2225	 55.3664246	CEP 	I
21 17 47.0335	 55.3584785	CEP 	I
21 13 43.9403	 55.3503723	CEP 	I
21 09 40.8539	 55.3421059	CEP 	I
21 05 37.8225	 55.3336830	CEP 	I
21 01 34.8737	 55.3251114	CEP 	I
20 57 31.9453	 55.3163834	CEP 	I
20 53 29.0789	 55.3075104	CEP 	I
20 49 26.2949	 55.2984886	CEP 	I
20 45 23.5383	 55.2893295	CEP 	I
20 41 20.8363	 55.2800255	CEP 	I
20 39 19.5267	 55.2753258	CEP 	O
20 39 12.4405	 56.2751884	CEP 	I
20 39 04.9767	 57.2750473	CEP 	I
20 38 57.1009	 58.2748909	CEP 	I
20 38 48.7583	 59.2747307	CEP 	I
20 38 39.9210	 60.2745590	CEP 	I
20 38 30.5211	 61.2743759	CEP 	I
20 38 29.7107	 61.3576965	CEP 	O
20 34 38.5929	 61.3486443	CEP 	O
20 34 48.1645	 60.3488388	CEP 	I
20 34 51.9823	 59.9322395	CEP 	O
00 26 22.5463	 -5.3074560	CET 	I
00 26 22.8433	 -4.3074565	CET 	I
00 26 23.1393	 -3.3074572	CET 	I
00 26 23.4345	 -2.3074582	CET 	I
00 26 23.7297	 -1.3074588	CET 	I
00 26 24.0241	 -0.3074595	CET 	I
00 26 24.3189	  0.6925398	CET 	O
00 26 24.6138	  1.6925390	CET 	I
00 26 24.9090	  2.6925383	CET 	O
00 30 25.0395	  2.6912043	CET 	I
00 34 25.1695	  2.6896596	CET 	I
00 38 25.2636	  2.6879051	CET 	I
00 42 25.3926	  2.6859407	CET 	I
00 46 25.5216	  2.6837673	CET 	I
00 50 25.6139	  2.6813858	CET 	I
00 54 25.7415	  2.6787963	CET 	I
00 58 25.8683	  2.6759999	CET 	I
01 02 25.9584	  2.6729980	CET 	I
01 06 26.0845	  2.6697903	CET 	I
01 10 26.2089	  2.6663787	CET 	I
01 14 26.2968	  2.6627645	CET 	I
01 18 26.4197	  2.6589479	CET 	I
01 22 26.5415	  2.6549304	CET 	I
01 26 26.6265	  2.6507139	CET 	I
01 30 26.7465	  2.6462984	CET 	I
01 34 26.8651	  2.6416862	CET 	I
01 38 26.9469	  2.6368790	CET 	I
01 42 27.0637	  2.6318769	CET 	I
01 46 27.1791	  2.6266825	CET 	I
01 50 27.2569	  2.6212978	CET 	I
01 54 27.3701	  2.6157229	CET 	I
01 58 27.4815	  2.6099606	CET 	I
02 02 27.5550	  2.6040132	CET 	I
02 06 27.6639	  2.5978806	CET 	O
02 06 29.1615	  3.5978613	CET 	I
02 06 30.6627	  4.5978417	CET 	I
02 06 32.1675	  5.5978222	CET 	I
02 06 33.6769	  6.5978031	CET 	I
02 06 35.1936	  7.5977831	CET 	I
02 06 36.7171	  8.5977631	CET 	I
02 06 38.2485	  9.5977440	CET 	I
02 06 39.6594	 10.5143948	CET 	O
02 10 40.1160	 10.5080709	CET 	I
02 14 40.5301	 10.5015678	CET 	I
02 18 40.9763	 10.4948854	CET 	I
02 22 41.4163	 10.4880266	CET 	I
02 26 41.8143	 10.4809942	CET 	I
02 30 42.2431	 10.4737892	CET 	I
02 34 42.6655	 10.4664135	CET 	I
02 38 43.0455	 10.4588718	CET 	I
02 42 43.4563	 10.4511633	CET 	I
02 46 43.8593	 10.4432926	CET 	I
02 50 44.2205	 10.4352617	CET 	I
02 54 44.6127	 10.4270716	CET 	I
02 58 44.9961	 10.4187260	CET 	I
03 02 45.3365	 10.4102287	CET 	I
03 06 45.7077	 10.4015799	CET 	I
03 10 46.0707	 10.3927832	CET 	I
03 14 46.3905	 10.3838425	CET 	I
03 18 46.7399	 10.3747578	CET 	I
03 22 47.0813	 10.3655338	CET 	I
03 23 47.1387	 10.3632069	CET 	O
03 23 44.8357	  9.3632526	CET 	I
03 23 42.5457	  8.3632965	CET 	I
03 23 40.2681	  7.3633409	CET 	I
03 23 38.0004	  6.3633847	CET 	I
03 23 35.7411	  5.3634286	CET 	I
03 23 33.4899	  4.3634725	CET 	I
03 23 31.2447	  3.3635159	CET 	I
03 23 29.0033	  2.3635592	CET 	I
03 23 26.7659	  1.3636028	CET 	I
03 23 24.7161	  0.4469725	CET 	O
03 23 22.4811	 -0.5529841	CET 	I
03 23 20.8039	 -1.3029516	CET 	O
03 19 20.8891	 -1.2937095	CET 	I
03 15 20.9376	 -1.2846049	CET 	I
03 11 20.9875	 -1.2756422	CET 	I
03 07 21.0745	 -1.2668252	CET 	I
03 03 21.1245	 -1.2581540	CET 	I
02 59 21.1761	 -1.2496327	CET 	I
02 55 21.2639	 -1.2412651	CET 	I
02 51 21.3156	 -1.2330509	CET 	I
02 47 21.3684	 -1.2249944	CET 	I
02 45 21.4131	 -1.2210265	CET 	O
02 45 19.5153	 -2.2209954	CET 	I
02 45 17.6151	 -3.2209642	CET 	I
02 45 15.7122	 -4.2209330	CET 	I
02 45 13.8031	 -5.2209010	CET 	I
02 45 11.8883	 -6.2208700	CET 	I
02 45 09.9666	 -7.2208381	CET 	I
02 45 08.0363	 -8.2208061	CET 	I
02 45 06.0955	 -9.2207747	CET 	I
02 45 04.1447	-10.2207422	CET 	I
02 45 02.1809	-11.2207098	CET 	I
02 45 00.2034	-12.2206783	CET 	I
02 44 58.2111	-13.2206450	CET 	I
02 44 56.2027	-14.2206116	CET 	I
02 44 54.1763	-15.2205782	CET 	I
02 44 52.1311	-16.2205448	CET 	I
02 44 50.0643	-17.2205105	CET 	I
02 44 47.9753	-18.2204762	CET 	I
02 44 45.8610	-19.2204418	CET 	I
02 44 43.7223	-20.2204075	CET 	I
02 44 41.5551	-21.2203712	CET 	I
02 44 39.3587	-22.2203331	CET 	I
02 44 37.1303	-23.2202988	CET 	I
02 44 35.7021	-23.8536034	CET 	O
02 40 36.6981	-23.8458195	CET 	I
02 36 37.7427	-23.8381977	CET 	I
02 32 38.7654	-23.8307419	CET 	I
02 28 39.8013	-23.8234539	CET 	I
02 24 40.8859	-23.8163357	CET 	I
02 20 41.9478	-23.8093891	CET 	I
02 16 43.0215	-23.8026180	CET 	I
02 12 44.1429	-23.7960224	CET 	I
02 08 45.2400	-23.7896042	CET 	I
02 04 46.3491	-23.7833672	CET 	I
02 00 47.5038	-23.7773132	CET 	I
01 56 48.6345	-23.7714405	CET 	I
01 52 49.7748	-23.7657547	CET 	I
01 48 50.9619	-23.7602577	CET 	I
01 45 51.8397	-23.7562580	CET 	O
01 45 50.3125	-24.7562428	CET 	I
01 45 50.1333	-24.8729095	CET 	O
01 41 51.3625	-24.8677444	CET 	I
01 37 52.6008	-24.8627701	CET 	I
01 33 53.8845	-24.8579903	CET 	I
01 29 55.1411	-24.8534050	CET 	I
01 25 56.4060	-24.8490143	CET 	I
01 21 57.7149	-24.8448238	CET 	I
01 17 58.9956	-24.8408298	CET 	I
01 14 00.2832	-24.8370342	CET 	I
01 10 01.6140	-24.8334427	CET 	I
01 06 02.9157	-24.8300514	CET 	I
01 02 04.2227	-24.8268623	CET 	I
00 58 05.5722	-24.8238792	CET 	I
00 54 06.8907	-24.8210983	CET 	I
00 50 08.2140	-24.8185253	CET 	I
00 46 09.5783	-24.8161583	CET 	I
00 42 10.9109	-24.8139973	CET 	I
00 38 12.2475	-24.8120461	CET 	I
00 34 13.6229	-24.8103008	CET 	I
00 30 14.9655	-24.8087654	CET 	I
00 26 16.3111	-24.8074398	CET 	I
00 22 17.6945	-24.8063240	CET 	I
00 18 19.0443	-24.8054180	CET 	I
00 14 20.3953	-24.8047237	CET 	I
00 10 21.7833	-24.8042393	CET 	I
00 06 23.1365	-24.8039646	CET 	I
00 06 23.1387	-24.8039646	CET 	I
00 02 24.4921	-24.8039017	CET 	I
23 58 25.8816	-24.8040485	CET 	I
23 56 26.5355	-24.8042011	CET 	O
23 56 26.4325	-23.8042011	CET 	I
23 56 26.3295	-22.8042011	CET 	I
23 56 26.2266	-21.8042011	CET 	I
23 56 26.1305	-20.8042011	CET 	I
23 56 26.0275	-19.8042011	CET 	I
23 56 25.9314	-18.8042011	CET 	I
